structured_name_id,Name,sequence,ts_name_id
4921,Archean,1,1
4922,Proterozoic,2,1
4920,Phanerozoic,3,1
4932,Eoarchean,1,2
4931,Paleoarchean,2,2
4930,Mesoarchean,3,2
4929,Neoarchean,4,2
4928,Paleoproterozoic,5,2
4927,Mesoproterozoic,6,2
4926,Neoproterozoic,7,2
4925,Paleozoic,8,2
4923,Mesozoic,9,2
4924,Cenozoic,10,2
4942,Siderian,1,6
4941,Rhyacian,2,6
4940,Orosirian,3,6
4939,Statherian,4,6
4938,Calymmian,5,6
4937,Ectasian,6,6
4936,Stenian,7,6
4935,Tonian,8,6
4934,Cryogenian,9,6
4933,Ediacaran,10,6
1045,Cambrian,11,6
18,Ordovician,12,6
1044,Silurian,13,6
4943,Devonian,14,6
4947,Carboniferous,15,6
4946,Permian,16,6
4945,Triassic,17,6
4944,Jurassic,18,6
4951,Cretaceous,19,6
4950,Paleogene,20,6
4949,Neogene,21,6
4948,Quaternary,22,6
4988,Terreneuvian,1,3
4987,Cambrian Series 2,2,3
4986,Miaolingian,3,3
4985,Furongian,4,3
27,Lower Ordovician,5,3
23,Middle Ordovician ,6,3
19,Upper Ordovician,7,3
4984,Llandovery,8,3
4983,Wenlock,9,3
4982,Ludlow,10,3
4981,Pridoli,11,3
4980,Lower Devonian,12,3
4979,Middle Devonian,13,3
4978,Upper Devonian,14,3
4974,Mississippian,15,3
4970,Pennsylvanian,16,3
4969,Cisuralian,17,3
4968,Guadalupian,18,3
4967,Lopingian,19,3
4966,Lower Triassic,20,3
4965,Middle Triassic,21,3
4964,Upper Triassic,22,3
4963,Lower Jurassic,23,3
4962,Middle Jurassic,24,3
4961,Upper Jurassic,25,3
4960,Lower Cretaceous,26,3
4959,Upper Cretaceous,27,3
4958,Paleocene,28,3
4957,Eocene,29,3
4956,Oligocene,30,3
4955,Miocene,31,3
4954,Pliocene,32,3
4953,Pleistocene,33,3
4952,Holocene,34,3
4977,Lower Mississippian,1,4
4976,Middle Mississippian,2,4
4975,Upper Mississippian,3,4
